index,rate_num,score,season_name,season_num,series_name
10380,38347,8.8,命运石之门,1,命运石之门
129807,15188,8.2,命运石之门 0,2,命运石之门
328609,38212,8.4,孤独摇滚！,1,孤独摇滚！
537409,34,6.4,孤独摇滚！第二季,2,孤独摇滚！
9717,36907,8.6,魔法少女小圆,1,魔法少女小圆
44693,16943,8.6,剧场版 魔法少女小圆 [新篇] 叛逆的物语,2,魔法少女小圆
334105,259,8.2,剧场版 魔法少女小圆 〈魔女之夜的回天〉,3,魔法少女小圆
400602,33653,8.5,葬送的芙莉莲,1,葬送的芙莉莲
515759,3660,7.8,葬送的芙莉莲 第二季,2,葬送的芙莉莲
265,32681,8.7,新世纪福音战士,1,新世纪福音战士
6049,20832,8.9,新世纪福音战士剧场版 Air/真心为你,2,新世纪福音战士
428735,29845,8.0,BanG Dream! It's MyGO!!!!!,1,BanG Dream! It's MyGO!!!!!
454684,20312,4.1,BanG Dream! Ave Mujica,2,BanG Dream! It's MyGO!!!!!
578262,5,4.4,BanG Dream! Ave Mujica prima aurora,3,BanG Dream! It's MyGO!!!!!
10639,29809,8.1,Fate/Zero,1,Fate/Zero
3484,6052,6.9,Fate/stay night UNLIMITED BLADE WORKS,2,Fate/Zero
55770,29803,8.2,进击的巨人,1,进击的巨人
118335,20674,8.1,进击的巨人 第二季,2,进击的巨人
217300,19625,8.3,进击的巨人 第三季,3,进击的巨人
263750,22054,8.7,进击的巨人 第三季 Part.2,4,进击的巨人
285666,14346,7.7,进击的巨人 最终季,5,进击的巨人
331752,12333,7.7,进击的巨人 最终季 Part.2,6,进击的巨人
376739,10008,7.7,进击的巨人 最终季 完结篇 前篇,7,进击的巨人
415779,10059,7.6,进击的巨人 最终季 完结篇 后篇,8,进击的巨人
1424,29042,8.3,轻音少女,1,轻音少女
3774,23591,8.4,轻音少女 第二季,2,轻音少女
51,26970,8.4,CLANNAD,1,CLANNAD
876,30011,9.2,CLANNAD 〜AFTER STORY〜,2,CLANNAD
248175,26230,7.8,辉夜大小姐想让我告白～天才们的恋爱头脑战～,1,辉夜大小姐想让我告白～天才们的恋爱头脑战～
293049,23349,7.9,辉夜大小姐想让我告白?～天才们的恋爱头脑战～,2,辉夜大小姐想让我告白～天才们的恋爱头脑战～
317613,22033,8.3,辉夜大小姐想让我告白-超级浪漫-,3,辉夜大小姐想让我告白～天才们的恋爱头脑战～
425211,9054,7.9,辉夜大小姐想让我告白-初吻不会结束-,4,辉夜大小姐想让我告白～天才们的恋爱头脑战～
565802,7715,8.3,辉夜大小姐想让我告白 通往大人的阶梯,5,辉夜大小姐想让我告白～天才们的恋爱头脑战～
619013,0,0.0,辉夜大小姐想让我告白 完结篇,6,辉夜大小姐想让我告白～天才们的恋爱头脑战～
464376,26058,8.0,败犬女主太多了！,1,败犬女主太多了！
550507,11,6.0,败犬女主太多了！第二季,2,败犬女主太多了！
29648,24976,7.4,中二病也要谈恋爱！,1,中二病也要谈恋爱！
72942,15520,7.0,中二病也要谈恋爱！恋,2,中二病也要谈恋爱！
215425,9009,7.5,电影 中二病也要谈恋爱！ -Take On Me-,3,中二病也要谈恋爱！
277554,24543,7.9,无职转生～到了异世界就拿出真本事～,1,无职转生～到了异世界就拿出真本事～
325585,23045,8.3,无职转生～到了异世界就拿出真本事～ 第2部分,2,无职转生～到了异世界就拿出真本事～
373247,15097,7.3,无职转生 第二季 ～到了异世界就拿出真本事～,3,无职转生～到了异世界就拿出真本事～
444557,13160,7.6,无职转生 第二季 ～到了异世界就拿出真本事～ 第2部分,4,无职转生～到了异世界就拿出真本事～
501963,227,7.8,无职转生 第三季 ～到了异世界就拿出真本事～,5,无职转生～到了异世界就拿出真本事～
23686,24379,7.4,刀剑神域,1,刀剑神域
92382,13977,6.9,刀剑神域 第二季,2,刀剑神域
148099,10740,6.8,刀剑神域 序列之争,3,刀剑神域
225604,9336,6.2,刀剑神域 爱丽丝篇,4,刀剑神域
279457,8045,6.1,刀剑神域 爱丽丝篇 异界战争,5,刀剑神域
292238,7133,4.8,刀剑神域 爱丽丝篇 异界战争 -终章-,6,刀剑神域
1671,23892,8.4,化物语,1,化物语
23161,14591,7.9,伪物语,2,化物语
56117,10634,7.7,猫物语（黑）,3,化物语
68812,12590,8.2,物语系列 第二季,4,化物语
82322,7194,7.3,花物语,5,化物语
115932,7579,7.5,凭物语,6,化物语
138829,8404,7.8,终物语,7,化物语
146104,5616,7.2,历物语,8,化物语
175596,7614,8.1,终物语（下）,9,化物语
233926,5894,7.9,续·终物语,10,化物语
475354,5689,8.2,物语系列 外传季&怪物季,11,化物语
567936,38,8.6,物语系列 外传季&怪物季 新作,12,化物语
240038,23373,7.4,青春猪头少年不会梦到兔女郎学姐,1,青春猪头少年不会梦到兔女郎学姐
260680,12374,7.4,青春猪头少年不会梦到怀梦美少女,2,青春猪头少年不会梦到兔女郎学姐
402656,4883,6.6,青春猪头少年不会梦到娇怜外出妹,3,青春猪头少年不会梦到兔女郎学姐
426239,4297,6.9,青春猪头少年不会梦到红书包女孩,4,青春猪头少年不会梦到兔女郎学姐
467930,4248,6.9,青春猪头少年不会梦到圣诞服女郎,5,青春猪头少年不会梦到兔女郎学姐
